Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
Fatty Cheong,[None],,,,Kiosk or Stall,#01-144 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-120, Singapore 150006",4.2,153.0
Mani Iyer Mess,['South Indian'],South Indian,,,Restaurant,#01-01 Little India Conservation Area Hindoo Road 209107,Hindoo Rd,4.3,435.0
Stall #01-46,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-46 Jalan Batu Food Centre Jalan Batu 432004,,,
Wei Xiang Kitchen,"['Chinese', 'Seafood']",Chinese,Seafood,,Kiosk or Stall,#01-106 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-106, Singapore 150006",5.0,1.0
The Thai Table,"['Asian', 'Indochinese', 'Thai']",Asian,Indochinese,Thai,Restaurant, Picardy Garden Jalan Pari Burong 488686,"20 Jln Pari Burong, Singapore 488686",4.2,34.0
Swee Heng Classic 1989 (The Seletar Mall),"['Desserts', 'Halal']",Desserts,Halal,,Confectionery or Bakery,#B1-K7/K8/K9 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-K7/K8/K9, Singapore 797653",3.8,8.0
Selegie Soya Bean (Jalan Kayu),"['Chinese', 'Desserts', 'Singaporean', 'Snacks']",Chinese,Desserts,Singaporean,Cafe, Jalan Kayu Estate Jalan Kayu 799471,"247 Jln Kayu, Singapore 799471",3.8,362.0
Texas Chicken (The Seletar Mall),"['American', 'Halal', 'Western']",American,Halal,Western,Fast Food Place,#B1-06/07 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, Singapore 797653",4.4,635.0
Peony Jade Restaurant (Keppel Club),"['Asian', 'Cantonese', 'Chinese', 'Dim Sum', 'Sichuan']",Asian,Cantonese,Chinese,Restaurant,Level M Keppel Club Bukit Chermin Road 109918,"10 Bukit Chermin Rd, M Level, 109918",3.9,445.0
Ten Points Porridge (Seletar Mall),"['Chinese', 'Local']",Chinese,Local,,Kiosk or Stall,#B1-26 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-26 The Seletar Mall, Singapore 797653",4.1,38.0
M.J Cafe Corner (Special Ginger Tea),"['Drinks', 'Juices']",Drinks,Juices,,Kiosk or Stall,#01-09 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-09, Singapore 150006",,38.0
Soon Huat Satay Mee Hoon,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,#01-47 Abc Brickworks Market And Food Centre Jalan Bukit Merah 150006,,,
Fayidha Restaurant (Pahang Street),"['Malaysian', 'South Indian']",Malaysian,South Indian,,Kiosk or Stall, Kampong Glam Conservation Area Pahang Street 198604,"2 Pahang St, Singapore 198604",4.1,122.0
Lin Ji Niang Re Gao Guo Mei Shi Tan,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-1648A Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"144 Upper Bukit Timah Rd, Singapore 588177",5.0,1.0
Sunday Folks,"['Desserts', 'Western']",Desserts,Western,,Cafe,#01-52 Chip Bee Gardens Jalan Merah Saga 278116,"44 Jln Merah Saga, #01-52 Chip Bee Gardens, Singapore 278116",4.1,496.0
Kipo Coffee & Tea Stall,['Drinks'],Drinks,,,Kiosk or Stall,#01-38 Jalan Batu Food Centre Jalan Batu 432004,"4A Jln Batu, Singapore 430002",,496.0
Amoy Street Famous 16 Prawn Noodle,['Chinese'],Chinese,,,Kiosk or Stall,#01-126 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Durian Lingers,"['Asian', 'Local', 'Singaporean']",Asian,Local,Singaporean,Cafe,  Jalan Kayu 799447,"223 Jln Kayu, Singapore 799447",4.0,40.0
Padang Curry Fish Head Mixed Vegetable Rice,"['Chinese', 'Vegetarian']",Chinese,Vegetarian,,Kiosk or Stall,#01-1648E Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,252 Jurong East St 24,,40.0
Da Paolo Pizza Bar (Holland Village),"['European', 'Italian', 'Western']",European,Italian,Western,Restaurant,#01-46  Jalan Merah Saga 278116,"44 Jln Merah Saga, Singapore 278116",4.1,378.0
Siang Ge,"['Chinese', 'Snacks']",Chinese,Snacks,,Food Retailer,  Jalan Kayu 799503,"275 Jln Kayu, Singapore 799503",2.7,7.0
75cl,"['Beer', 'Drinks', 'Wine']",Beer,Drinks,Wine,Food Retailer,#01-06 Central-link Jalan Kilang Barat 159351,"8 Jln Kilang Barat, #01-06, Singapore 159351",4.2,16.0
The Beast,"['American', 'Beer', 'Drinks']",American,Beer,Drinks,Bar or Pub, Kampong Glam Conservation Area Jalan Klapa 199329,"17 Jln Klapa, Singapore 199329",4.1,653.0
Ho Kee Sheng Mian Mee Hoon Kueh,['Singaporean'],Singaporean,,,Kiosk or Stall,#01-31 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Bukit Merah Lane 1, #01-31, Singapore 150006",,653.0
Xiang Garden Restaurant,"['Asian', 'Chinese']",Asian,Chinese,,Restaurant,  Jalan Kayu 799472,,,
My Kampung (Seletar Mall),"['Halal', 'Local', 'Singaporean']",Halal,Local,Singaporean,Kiosk or Stall,#B2-07 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B2-07 The Seletar Mall, Singapore 797653",3.4,36.0
Brew & Bar,"['Asian', 'Nonya / Peranakan']",Asian,Nonya / Peranakan,,Restaurant,  Jalan Pari Burong 488672,,,
Er Gu Wanton Noodles,['Chinese'],Chinese,,,Kiosk or Stall,#01-1654 Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,,,
Subway (The Seletar Mall),"['American', 'Snacks', 'Western']",American,Snacks,Western,Cafe,#B1-08 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-08 The Seletar Mall, Singapore 797653",4.3,39.0
Dodo (Seletar Mall),"['Asian', 'Chinese']",Asian,Chinese,,Hawker,#B2-K5/K6 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, Singapore 797653",,39.0
Tanjong Rhu Wanton Noodles,['Chinese'],Chinese,,,Kiosk or Stall,#01-22 Jalan Batu Food Centre Jalan Batu 432004,,,
Viking Hotdogs (Jalan Kilang Timor),"['Asian', 'Western']",Asian,Western,,Fast Food Place,#03-06  Jalan Kilang Timor 159308,"16 Jln Kilang Timor, Singapore 159308",,
Asma A.R. Family Chicken Place,"['Halal', 'Malaysian']",Halal,Malaysian,,Kiosk or Stall, F&B Empires Jalan Bukit Merah 150002,"2 Jalan Bukit Merah, Block 2, Singapore 150002",4.6,143.0
Belirub,['Western'],Western,,,Kiosk or Stall,#01-12 Jalan Batu Hawker Centre Jalan Batu 432004,"4A Jln Batu, #01-12, Singapore 432004",4.4,25.0
Lian Xin Hainanese Chicken Rice,"['Asian', 'Chinese', 'Hainanese', 'Local']",Asian,Chinese,Hainanese,Kiosk or Stall,#01-125 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah Lane 1, #01-125, Singapore 150006",5.0,3.0
Symmetry,"['Australian', 'European', 'French', 'Western']",Australian,European,French,Restaurant,#01-01  Jalan Kubor 199206,"9 Jln Kubor, #01-01, Singapore 199206",,3.0
New Soon Huat Bak Kut Teh (Jalan Kayu Estate),"['Chinese', 'Indonesian', 'Malaysian']",Chinese,Indonesian,Malaysian,Restaurant, Jalan Kayu Estate Jalan Kayu 799485,"253 Jln Kayu, Singapore 799479",4.1,435.0
Quán Cô Ba 2 (Jalan Besar),['Vietnamese'],Vietnamese,,,Kiosk or Stall,#01-06 Jalan Besar Stadium Tyrwhitt Road 207542,"153 Tyrwhitt Rd, Singapore 207566",4.3,3.0
Yong Zhen Lor Mee & Prawn Mee (ABC Brickworks Market & Food Centre),['Chinese'],Chinese,,,Kiosk or Stall,#01-40 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah Lane 1, #01-40, Singapore 150006",3.8,4.0
Chix Hot Chicken,['Western'],Western,,,Restaurant,#01-01 Kampong Glam Conservation Area Jalan Pisang 199069,"1 Jln Pisang, Singapore 199069",4.5,377.0
Hong Leong Fresh Fruit Juice,"['Fruits & Drinks', 'Juices']",Fruits & Drinks,Juices,,Kiosk or Stall,#01-42 Jalan Batu Food Centre Jalan Batu 432004,"4A Jln Batu, #01-30 4A, Singapore 432004",5.0,1.0
Muka Mas,"['Chinese', 'Malaysian', 'Snacks']",Chinese,Malaysian,Snacks,Kiosk or Stall,#01-1650A Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"1650 Jalan Bukit Merah, Singapore 160112",,1.0
Georges Hideout @ Seletar (Seletar),"['American', 'Beer', 'Western']",American,Beer,Western,Bar or Pub,#02-02 Jtc Aviation Two @ Seletar Aerospace Park West Camp Road 797523,"JTC Aviation 2 S797523, 690 W Camp Rd",4.2,56.0
Starbucks (The Seletar Mall),"['American', 'European', 'Western']",American,European,Western,Cafe,#01-15/16 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #01-15/16, Singapore 797653",4.2,212.0
Asian Foodmall,['Asian'],Asian,,,Cafe,#03-06  Jalan Kilang Timor 159308,"304 Orchard Rd, Singapore 238863",4.2,603.0
Kim's Fried Hokkien Prawn Mee (Jalan Eunos),"['Asian', 'Chinese', 'Hokkien', 'Local', 'Singaporean']",Asian,Chinese,Hokkien,Cafe,  Jalan Eunos 419510,"62B Jln Eunos, Singapore 419510",3.9,664.0
Hawkerman (The Seletar Mall),"['Asian', 'Halal', 'Local', 'Singaporean']",Asian,Halal,Local,Restaurant,#02-14/15/16 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #02-14/15/16, Singapore 797653",4.2,66.0
McDonald's (The Seletar Mall),"['American', 'Desserts', 'Halal', 'Snacks', 'Western']",American,Desserts,Halal,Fast Food Place,#01-04/05/06 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #01-04/05/06 The Seletar Mall, Singapore 797653",4.1,857.0
Wheeler's Estate,"['Steak and Grills', 'Western']",Steak and Grills,Western,,Bar or Pub, The Oval @ Sap Park Lane 798386,"2 Park Lane Singapore 798386 Park Ln, Singapore 798386",,857.0
Pacific Fruit Stall,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-117 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah Lane 1, #01-117, Singapore 150006",,857.0
Sabar Menanti II,"['Asian', 'Halal', 'Indonesian', 'Malaysian']",Asian,Halal,Indonesian,Kiosk or Stall,  North Bridge Road (at the junction of Jalan Kledek) 198715,"737 North Bridge Rd, Singapore 198715",4.5,137.0
Canadian Pizza Dine-In Cafe,"['European', 'Halal', 'Italian', 'Pizza', 'Western']",European,Halal,Italian,Cafe, Jalan Kayu Estate Jalan Kayu 799472,"67 Brighton Cres, Singapore 559212",4.2,11.0
Porta Porta (Jalan Pari Burong),"['European', 'Italian', 'Western']",European,Italian,Western,Restaurant,  Jalan Pari Burong 488698,"No. 32 Jln Pari Burong, Singapore 488698",4.4,231.0
Nine Fresh (Seletar Mall),"['Asian', 'Chinese', 'Desserts', 'Taiwanese']",Asian,Chinese,Desserts,Cafe,#B1-K3 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-K3, Singapore 797653",4.2,46.0
Jane’s Cake Station,['Desserts'],Desserts,,,Confectionery or Bakery, Jalan Kayu Estate Jalan Kayu 799493,"265 Jln Kayu, Singapore 799493",4.4,52.0
Fish Mart Sakuraya (The Seletar Mall),"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#02-01 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #02-01 The Seletar Mall, Singapore 797653",3.7,94.0
Dandelion Cafe,['Western'],Western,,,Cafe,#01-5148  Jalan Bukit Merah 150002,,,
He Zhong Coffee Shop,"['Drinks', 'Snacks']",Drinks,Snacks,,Kiosk or Stall,#01-35 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-35 ABC Brickworks Market and Food Centre, Singapore 150006",,
Seletar Terrace,"['Asian', 'Chinese', 'Local', 'Singaporean', 'Western']",Asian,Chinese,Local,Cafe, Seletar Country Club Seletar Club Road 798273,,,
Capstan,"['Desserts', 'Indian', 'North Indian', 'South Indian', 'Vegetarian']",Desserts,Indian,North Indian,Restaurant,  Desker Road 209549,,,
La Fromagerie,"['European', 'French', 'Western', 'Wine']",European,French,Western,Bar or Pub,#01-64 Chip Bee Gardens Jalan Merah Saga 278115,"5 Mohamed Sultan Rd, Singapore 239014",,
Ms Haji Abdul Rahim Muhibbi Stall,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-28 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, Singapore 150006",,
KINS Restaurant,"['Steak and Grills', 'Western']",Steak and Grills,Western,,Restaurant,  Jalan Klapa 199314,"31 Bukit Pasoh Rd, Singapore 089845",4.7,71.0
Li Fang Zhou Pin,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-45 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"347 Jurong East Ave 1, #01-206 Yuhua Market & Hawker Centre, Singapore 600347",4.4,9.0
Let's Eat! (Seletar Mall),"['Malaysian', 'Singaporean']",Malaysian,Singaporean,,Restaurant,#B2-05/06 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B2-05/06 The Seletar Mall, Singapore 797653",3.2,81.0
Sin Kee Cooked Food,['Chinese'],Chinese,,,Kiosk or Stall,#01-1648J Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"112 Jalan Bukit Merah, Singapore 160112",,81.0
Happy Hainanese Chicken Rice,"['Local', 'Singaporean']",Local,Singaporean,,Kiosk or Stall,#01-105 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Shahi Grill & Tandoor,"['Barbecue', 'Chinese', 'Japanese', 'Singaporean', 'Turkish']",Barbecue,Chinese,Japanese,Restaurant, Little India Conservation Area Dunlop Street 209370,"Devaraj Complex 661 Avinashi Road Opp. Shanti Theatre, Peelamedu, Coimbatore, Tamil Nadu 641004, India",,
Nasi Lemak,['Malaysian'],Malaysian,,,Kiosk or Stall,#01-25 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Han's (The Seletar Mall),"['Asian', 'International', 'Western']",Asian,International,Western,Cafe,#B2-03/04 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, Singapore 797653",3.7,202.0
Song Fa Bak Kut Teh (The Seletar Mall),"['Asian', 'Chinese', 'Local', 'Singaporean', 'Teochew']",Asian,Chinese,Local,Restaurant,#01-39/40/41 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #01-39/40/41 The Seletar Mall, Singapore 797653",4.2,571.0
G.I 100% Fresh Fruit Juice,"['Fruits & Drinks', 'Juices']",Fruits & Drinks,Juices,,Kiosk or Stall,#01-30 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Gogo Beanz,"['Chinese', 'Desserts', 'Drinks']",Chinese,Desserts,Drinks,Kiosk or Stall,#01-16 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Bukit Merah Lane 1, #01-16, Singapore 150006",3.0,1.0
Spizza (Jalan Kayu),"['European', 'Italian', 'Pizza']",European,Italian,Pizza,Restaurant,  Jalan Kayu 799497,"269 Jln Kayu, Singapore 799497",4.3,352.0
Beautea,[None],,,,Kiosk or Stall,#01-43 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"ABC Brickworks #01-43, 6 Jalan Bukit Merah, Singapore 150006",3.4,11.0
Mok Lee Cold & Hot Drink,"['Asian', 'Fruits & Drinks', 'Local', 'Snacks']",Asian,Fruits & Drinks,Local,Kiosk or Stall,#01-127 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"5048 Ang Mo Kio Ind Park 2, #01-621, Singapore 569551",4.8,4.0
Abang Bo Corner,[None],,,,Kiosk or Stall,#01-07 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-07 ABC Brickworks Market and Food Centre, Singapore 150006",,4.0
Domino's Pizza (Jalan Kayu),"['Halal', 'Pizza', 'Western']",Halal,Pizza,Western,Restaurant,  Jalan Kayu 799457,"233 Jln Kayu, Singapore 799457",4.2,90.0
Kpt (Jalan Tenaga),"['Asian', 'Chinese', 'Malaysian']",Asian,Chinese,Malaysian,Kiosk or Stall,#01-01  Jalan Tenaga 411651,"651A Jln Tenaga, Singapore 411651",3.9,325.0
Gourmet Street (Bukit Merah),['Chinese'],Chinese,,,Kiosk or Stall,  Jalan Bukit Merah 160131,"131 Jalan Bukit Merah, Singapore 160131",4.1,25.0
69 Cold Soya Beancurd,"['Chinese', 'Desserts']",Chinese,Desserts,,Kiosk or Stall,#01-30 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"209 Hougang Street 21, #01-14, Singapore 530209",4.4,7.0
Momoya,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant, Picardy Gardens Jalan Pari Burong 488682,"16 Jln Pari Burong, Singapore 488682",4.0,148.0
Canton Paradise Noodle & Congee House (The Seletar Mall),"['Asian', 'Cantonese', 'Chinese', 'Dim Sum', 'Hong Kong']",Asian,Cantonese,Chinese,Restaurant,#03-10 The Seletar Mall Sengkang West Avenue 797653,,,
The Garden Authentic Thai Food,"['Local', 'Thai']",Local,Thai,,Kiosk or Stall,#01-50 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"58 Serangoon Garden Way, Singapore 555954",3.9,472.0
Gastronomia (Holland Village),"['European', 'Italian', 'Pizza', 'Western']",European,Italian,Pizza,Cafe,#01-74  Jalan Merah Saga 278115,"118 Holland Ave, #01-06, Raffles 278997",3.9,177.0
Sushi Express (The Seletar Mall),['Japanese'],Japanese,,,Restaurant,#02-K4/K5 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #02-K4/K5, Singapore 797653",3.8,797.0
Nasi Putih Ayam Penyet,"['Chinese', 'Malaysian', 'Snacks']",Chinese,Malaysian,Snacks,Kiosk or Stall,#01-05 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-26 ABC Brickworks Market and Food Centre, Singapore 150006",5.0,4.0
Fernvale Cafe,"['Local', 'Singaporean']",Local,Singaporean,,Cafe,#01-14  Fernvale Road 792408,"408B Fernvale Rd, Singapore 972408",3.3,33.0
LeNu (The Seletar Mall),"['Chinese', 'Taiwanese']",Chinese,Taiwanese,,Restaurant,#03-10 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #03-10, The Seletar Mall, 797653",4.2,73.0
Wak Marmi Muslim Food,"['Chinese', 'Malaysian']",Chinese,Malaysian,,Kiosk or Stall,#01-19 Jalan Batu Food Centre Jalan Batu 432004,,,
Chinatown Beef King,[None],,,,Kiosk or Stall,#01-115 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Gu Zao Ren Seafood Taiwan Porridge,"['Chinese', 'Seafood', 'Taiwanese']",Chinese,Seafood,Taiwanese,Kiosk or Stall,#01-142 & 143 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Bakery New Hong Kong,"['Desserts', 'Local', 'Snacks']",Desserts,Local,Snacks,Confectionery or Bakery,#01-129 ABC Brickworks Market & Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #1-129, Singapore 150006",4.6,5.0
Mumbai 2 Goa,"['Asian', 'Indian', 'North Indian', 'South Indian']",Asian,Indian,North Indian,Restaurant,  Syed Alwi Road 207656,"77 Syed Alwi Rd, Singapore 207656",4.5,2.0
The Summerhouse,['Western'],Western,,,Cafe,  Park Lane 798387,"Level 1, 3 Park Lane, Seletar Aerospace Dr, Park, 798387",,2.0
Polar Puffs & Cakes (The Seletar Mall),"['Asian', 'Fusion', 'Halal', 'Snacks']",Asian,Fusion,Halal,Cafe,#B2-K3 The Seletar Mall Sengkang West Avenue 797653,,,
Puny Fish,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#01-5142 Brickworks Estate Jalan Bukit Merah 150002,,,
HJH Maimunah Restaurant (Jln Pisang),"['Halal', 'Indonesian', 'Malaysian']",Halal,Indonesian,Malaysian,Restaurant,  Jalan Pisang 199078,"11 Jln Pisang, Singapore 199078",,
Soon Lee Fried Kway Teow Fried Oyster Carrot Cake (ABC Brickworks Food Centre),"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-36 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-36 ABC Brickworks Market and Food Centre, Singapore 150006",,
Heng Heng Hot & Cold Dessert,"['Chinese', 'Desserts', 'Drinks', 'Local']",Chinese,Desserts,Drinks,Kiosk or Stall,#01-101 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Tong Fong Fatt Hainanese Boneless Chicken Rice,"['Chinese', 'Hainanese', 'Local']",Chinese,Hainanese,Local,Kiosk or Stall,#01-32 ABC Brickworks Food Centre Jalan Bukit Merah 150006,,,
Swiss-treats,"['Desserts', 'European', 'Snacks', 'Swiss', 'Western']",Desserts,European,Snacks,Confectionery or Bakery, Psc Building Jalan Boon Lay 619529,"348 Jln Boon Lay, Singapore 619529",1.0,1.0
Boost (Seletar Mall),"['Fruits & Drinks', 'Juices', 'Snacks']",Fruits & Drinks,Juices,Snacks,Kiosk or Stall,#B2-21 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B2-21 The Seletar Mall, Singapore 797653",3.0,2.0
Hai Di Lao (The Seletar Mall),"['Asian', 'Chinese', 'Seafood', 'Sichuan', 'Steamboat']",Asian,Chinese,Seafood,Restaurant,#03-36/37 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #03-36/37 The Seletar Mall, Singapore 797653",,2.0
% Arabica (Chip Bee Gardens),['Drinks'],Drinks,,,Cafe, Chip Bee Gardens Jalan Merah Saga 278116,"44 Jln Merah Saga, Singapore 278116",3.8,155.0
Jojo Asian Delights,"['Chinese', 'Local', 'Singaporean']",Chinese,Local,Singaporean,Kiosk or Stall,#01-01 Jalan Batu Market & Hawker Centre Jalan Batu 432004,"4A Jln Batu, Singapore 432004",3.9,838.0
Chang Cheng Mee Wah Cafe,"['Asian', 'Chinese', 'Local', 'Singaporean']",Asian,Chinese,Local,Restaurant,#01-5134  Jalan Bukit Merah 150002,,,
Fried Guo Tiao,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-1654G Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,,,
Habib's Power Mee Stall,['Indian'],Indian,,,Kiosk or Stall,#01-08 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-08, Singapore 150006",5.0,1.0
Fusion Bistro (Surbana One),"['Asian', 'Fusion', 'Local', 'Singaporean', 'Western']",Asian,Fusion,Local,Cafe,#01-01 Surbana One Jalan Bukit Merah 150168,"168 Jalan Bukit Merah, Singapore 150168",,1.0
Ke Kou Cooked Food,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-1654F Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"#01-05, 112 Jalan Bukit Merah, 160112",5.0,1.0
Fook Seng Goldenhill Chicken Rice,"['Asian', 'Chinese', 'Hainanese', 'Local', 'Singaporean']",Asian,Chinese,Hainanese,Kiosk or Stall,#01-431  Jalan Rumah Tinggi 150037,"37 Jln Rumah Tinggi, #01-431, Singapore 150037",4.4,127.0
Koh Za Hao Wei,"['Chinese', 'Taiwanese']",Chinese,Taiwanese,,Kiosk or Stall,#01-126 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-126 ABC Brickworks, Singapore 150006",4.5,2.0
Hock Nguan Kee Cooked Food,"['Chinese', 'Seafood', 'Zi Char']",Chinese,Seafood,Zi Char,Kiosk or Stall,#01-36 Jalan Batu Food Centre Jalan Batu 432004,"4A Jln Batu, #01-24, Singapore 432004",3.8,5.0
Grandma's Noodle,"['Asian', 'Chinese', 'Local', 'Singaporean']",Asian,Chinese,Local,Kiosk or Stall,#01-05  Fernvale Street 790473,"473 #01-05 Fernvale St, Singapore 790473",4.4,32.0
The Royals Steakhouse,"['Desserts', 'Halal', 'Western']",Desserts,Halal,Western,Cafe, Kampong Glam Conservation Area Jalan Pisang 199077,"10 Jln Pisang, Singapore 199077",4.4,411.0
Jack's Place Restaurant (Anchorpoint),"['American', 'Steak and Grills']",American,Steak and Grills,,Restaurant,#01-09/10 Anchorpoint Shopping Centre Alexandra Road 159953,"370 Alexandra Rd, #01 - 09 / 10, Singapore 159953",3.9,358.0
Epiphyte,['Asian'],Asian,,,Restaurant, Tanjong Pagar Conservation Area Neil Road 088827,"47 Neil Rd, Singapore 088827",4.4,99.0
Italian Gourmet,"['European', 'Italian', 'Western']",European,Italian,Western,Kiosk or Stall,#01-5134 Chang Cheng Mee Hua Cafe Jalan Bukit Merah 150002,,,
Hong Yong Teochew Fishball Kway Teow Noodles,['Chinese'],Chinese,,,Kiosk or Stall,#01-1650D Jalan Bukit Merah Food Centre Jalan Bukit Merah 160112,"112 Jalan Bukit Merah, Singapore 160112",4.0,3.0
Jalan Tua Kong Lau Lim Mee Pok Kway Teow Mee (Bedok),"['Chinese', 'Singaporean']",Chinese,Singaporean,,Kiosk or Stall, Bedok Shopping Centre Bedok Road 469469,,,
Fu Yuan Shu Shi Vegetarian Food,['Vegetarian'],Vegetarian,,,Kiosk or Stall,#01-114 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-114 ABC Brickworks Market and Food Centre, Singapore 150006",4.0,1.0
Ong Khim Popiah,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-124 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-124, Singapore 150006",3.1,11.0
Tian Tian Hainanese Chicken Rice (Simpang Bedok),['Chinese'],Chinese,,,Kiosk or Stall,  Jalan Pari Burong 488678,"12 Jln Pari Burong, Singapore 488678",4.0,412.0
Wimbly Lu (Riang),"['Desserts', 'Drinks', 'Snacks', 'Western']",Desserts,Drinks,Snacks,Cafe,  Jalan Riang 358987,"15-2 Jln Riang, Singapore 358987",4.2,723.0
SHY Signature Vegetarian Cafe,"['Chinese', 'Drinks', 'Taiwanese', 'Thai', 'Western']",Chinese,Drinks,Taiwanese,Cafe,#01-07 Suites At Bukit Timah Jalan Jurong Kechil 596180,"68 Jln Jurong Kechil, Singapore 598587",3.0,3.0
Lao Huo Tang (Seletar Mall),"['Asian', 'Cantonese', 'Chinese']",Asian,Cantonese,Chinese,Restaurant,#B1-28/29 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, #B1-28/29, Singapore 797653",4.1,94.0
Saybons (Anglo-chinese School (international)),"['European', 'French', 'Western']",European,French,Western,Cafe, Holland Village Methodist Church Jalan Hitam Manis 278475,"61 Jln Hitam Manis, Singapore 278475",,94.0
Jin Jin Dessert,"['Asian', 'Chinese', 'Desserts', 'Fruits & Drinks', 'Local', 'Singaporean']",Asian,Chinese,Desserts,Kiosk or Stall,#01-21 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah, #01-21 ABC Brickworks Market Food Centre, Singapore 150006",3.9,113.0
Old Street Cafe,"['Asian', 'Nonya / Peranakan']",Asian,Nonya / Peranakan,,Restaurant, Santa Grand Hotel Bugis Jalan Kubor 199207,,,
