Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
Fu Shun Roasted Delicacies,['Chinese'],Chinese,,,Kiosk or Stall,#01-71 Maxwell Food Centre Kadayanallur Street 069184,"1 Kadayanallur St, #01-71 Maxwell Food Centre, Singapore 069184",4.6,53.0
The Wicked Cream Co.,"['Desserts', 'Snacks', 'Western']",Desserts,Snacks,Western,Kiosk or Stall,#B1-04 Viva Vista South Buona Vista Road 118136,"Jurong Point Shopping Mall Shokutsu Ten, Lvl B1, opposite Ichiban Boshi, 648331",4.4,5.0
Zhong Guo Jie Shu Shi (China Street Cooked Food),['Chinese'],Chinese,,,Kiosk or Stall,#01-87 Maxwell Food Centre Kadayanallur Street 069184,"112 Jalan Bukit Merah, Singapore 160112",,5.0
The Rose Veranda,"['English', 'European', 'International']",English,European,International,Cafe,Mezzanine Level Shangri-La Hotel Orange Grove Road 258350,"22 Orange Grove Rd, Singapore 258350",4.3,81.0
786 Fazil Muslim Food Stall,"['Chinese', 'Indian', 'Snacks']",Chinese,Indian,Snacks,Kiosk or Stall,#01-2883 Geylang Bahru Market and Food Centre Geylang Bahru 330069,"69 Geylang Bahru, Singapore 330069",4.0,1.0
Woon Woon Pek Beehoon (Whampoa Drive),"['Asian', 'Chinese', 'Seafood']",Asian,Chinese,Seafood,Kiosk or Stall,#01-50 Whampoa Makan Place Whampoa Drive 320090,"20 Kensington Park Rd, #01-10, Singapore 557269",,1.0
Golden Spoon Eating House & Catering,"['Chinese', 'Singaporean']",Chinese,Singaporean,,Kiosk or Stall,#02-29  Science Park Road 117684,,,
Katong Laksa,"['Asian', 'Chinese', 'Local', 'Nonya / Peranakan', 'Singaporean']",Asian,Chinese,Local,Kiosk or Stall,  Changi Road 419785,,,
Tong Fong Fatt (Maxwell Food Centre),"['Asian', 'Chinese', 'Hainanese', 'Local']",Asian,Chinese,Hainanese,Kiosk or Stall,#01-17 Maxwell Food Centre Kadayanallur Street 069184,"1 Kadayanallur St, #01-40 Maxwell Food Center, Singapore 069184",3.8,18.0
Guan Kee,"['Chinese', 'Dim Sum', 'Snacks']",Chinese,Dim Sum,Snacks,Kiosk or Stall,#01-09 Upper Boon Keng Market and Food Centre Upper Boon Keng Road 380017,,,
Tang Ren La Mian,['Chinese'],Chinese,,,Kiosk or Stall,#01-99 Maxwell Food Centre Kadayanallur Street 069184,,,
The Pirate Sheep,"['Beer', 'Cocktails', 'Drinks', 'Western']",Beer,Cocktails,Drinks,Bar or Pub,#01-03 Icon @ Pasir Panjang Pasir Panjang Road 118579,"218 Pasir Panjang Rd, Singapore 118579",4.0,18.0
Siam Saap,['Thai'],Thai,,,Restaurant,  Killiney Road 239548,"109 Killiney Rd, Singapore 239548",4.7,40.0
Hei Sushi (Sakae Building),"['Asian', 'Halal', 'Japanese']",Asian,Halal,Japanese,Restaurant,#01-02 Sakae Building Tai Seng Street 534106,"28 Tai Seng St, #01-02 Sakae Building, Singapore 534106",3.9,196.0
Starbucks (Tiong Bahru Plaza),"['American', 'European', 'Western']",American,European,Western,Cafe,#01-111 Tiong Bahru Plaza Tiong Bahru Road 168732,"302 Tiong Bahru Rd, #01-111 Tiong Bahru Plaza, Singapore 168732",4.2,259.0
318 Changi Nasi Lemak Centre,"['Asian', 'Indonesian', 'Local', 'Malaysian', 'Singaporean']",Asian,Indonesian,Local,Cafe,  Changi Road 419793,"2 Changi Village Rd, Singapore 500002",3.7,137.0
Malay Muslim Variety Food,"['Chinese', 'Malaysian']",Chinese,Malaysian,,Kiosk or Stall,#01-2881 Geylang Bahru Market and Food Centre Geylang Bahru 330069,,,
Eng Lock Koo Coffeeshop,"['Chinese', 'Local']",Chinese,Local,,Coffee Shop,  Pasir Panjang Road 118539,"114 Pasir Panjang Rd, Singapore 118539",3.8,94.0
Aliff Nasi Lemak (Kaki Bukit 511 Market & Food Centre),"['Halal', 'Malaysian']",Halal,Malaysian,,Kiosk or Stall,#01-19 Kaki Bukit 511 Market and Food Centre Bedok North Street 3 460511,"#01-19,, 511 Bedok North Street 3, Singapore 460511",3.9,26.0
BLooiE's Roadhouse (Science Park II),"['American', 'Western']",American,Western,,Restaurant,#01-01 The Aquarius Science Park Road 117628,"21 Science Park Rd, Singapore 117628",3.2,6.0
Metropolitan YMCA Restaurant,"['Chinese', 'Western']",Chinese,Western,,Restaurant,  Stevens Road 257854,"60 Stevens Rd, Singapore 257854",4.4,53.0
Tippling Club,"['Asian', 'European', 'International', 'Italian', 'Western', 'Wine']",Asian,European,International,Bar or Pub,  Tanjong Pagar Road 088462,"38 Tg Pagar Rd, Singapore 088461",4.6,499.0
