Stall Name,Cuisine,Shop Type,Address
Taj Mahal Drinks Stall,"['Fruits & Drinks', 'Indian']",Kiosk or Stall,#01-15 Adam Road Food Centre Adam Road 289876
Nasi Singapura House of Lontong,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-03 Adam Road Food Centre Adam Road 289876
Cheng Ji,"['Chinese', 'Local']",Kiosk or Stall,#01-24 Adam Road Food Centre Adam Road 289876
Stall #22,['Singaporean'],Kiosk or Stall,#01-22 Adam Road Food Centre Adam Road 289876
Stewart Fruit Juice,"['Drinks', 'Fruits & Drinks', 'Juices', 'Snacks']",Kiosk or Stall,#01-28 Adam Road Food Centre Adam Road 289876
Al-Sheik Mee Stall,['Indian'],Kiosk or Stall,#01-16 Adam Road Food Centre Adam Road 289876
Ann Chin Popiah (W573 Coffeeshop Pte Ltd),"['Asian', 'Chinese', 'Local', 'Snacks']",Kiosk or Stall,-  Woodlands Drive 16 730573
Like Pudding (Kampung Admiralty Hawker Centre),['Desserts'],Kiosk or Stall, Kampung Admiralty Hawker Centre Woodlands Drive 71 730676
Yu Kee Duck Rice (Kampung Admiralty Hawker Centre),"['Asian', 'Local']",Kiosk or Stall,#02-15 Kampung Admiralty Woodlands Drive 71 730676
Selera Rasa Nasi Lemak,"['Asian', 'Halal', 'Malaysian']",Kiosk or Stall,#01-02 Adam Road Food Centre Adam Road 289876
Sanko Foods,"['Asian', 'Indian', 'South Indian']",Restaurant, Japanese Association Singapore Adam Road 289899
Adam's Indian Rojak,['Indian'],Kiosk or Stall,#01-05 Adam Road Food Centre Adam Road 289876
Adam's Delights,"['Chinese', 'Indian', 'South Indian']",Kiosk or Stall,#01-11 Adam Road Food Centre Adam Road 289876
Donguri,"['Asian', 'Japanese']",Restaurant,Level 1 The Japanese Association Adam Road 289899
Warong Kim's Goreng Delights (Woodlands),"['Chinese', 'Local', 'Seafood']",Kiosk or Stall,#02-40  Woodlands Drive 71 730676
Ding Ji (573 Woodlands Drive),['Chinese'],Kiosk or Stall,#01-01 Woodlands Glen Woodlands Drive 16 730573
Nasi Singapura House of Lontong,"['Chinese', 'Malaysian']",Kiosk or Stall,#01-03 Adam Road Food Centre Adam Road 289876
Thajudeen Tehtarik,"['Drinks', 'Singaporean']",Kiosk or Stall,#01-12 Adam Road Food Centre Adam Road 289876
Yummy Rojak,"['Chinese', 'Local', 'Seafood', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-19 Adam Road Food Centre Adam Road 289876
Zhu Ji Hai Nan Chicken Rice,"['Chinese', 'Hainanese', 'Local']",Kiosk or Stall,#01-23 Adam Road Food Centre Adam Road 289876
NO.1 Adam's Nasi Lemak,"['Asian', 'Halal', 'Malaysian']",Kiosk or Stall,#01-01 Adam Road Food Centre Adam Road 289876
Victor's Japanese Delights,['Japanese'],Kiosk or Stall,#01-05 Old Airport Road Food Centre Old Airport Road 390051
Ivan's Carbina (Woodlands),"['Steak and Grills', 'Western']",Kiosk or Stall,#01-01 Lucky Star Coffeeshop Woodlands Avenue 5 730354
Old Coffee Point (Aljunied),"['Drinks', 'Local', 'Singaporean']",Kiosk or Stall,#01-19  Aljunied Avenue 2 380117
QQ Fresh Juice Ice Blend,"['Fruits & Drinks', 'Juices']",Kiosk or Stall,#01-80 Old Airport Road Food Centre Old Airport Road 390051
Nam Sing Hokkien Fried Mee,"['Asian', 'Chinese', 'Hokkien', 'Local']",Kiosk or Stall,#01-32 Old Airport Road Food Centre Old Airport Road 390051
Azur,"['Asian', 'Chinese', 'Western']",Restaurant, Crowne Plaza Changi Airport Airport Boulevard 819664
The Eastern Restaurant (Aljunied),"['Asian', 'Beijing', 'Chinese', 'Local', 'Shanghainese', 'Singaporean']",Restaurant,#01-01  Geylang Road 389446
Nam Sing Hokkien Fried Mee,"['Asian', 'Chinese', 'Hokkien', 'Local']",Kiosk or Stall,#01-32 Old Airport Road Food Centre Old Airport Road 390051
Boon Keng Food Stall,['Chinese'],Kiosk or Stall,#01-116 89 Circuit Road Hawker Centre Circuit Road 370089
51 Soya Bean (Old Airport Road Food Centre),"['Chinese', 'Desserts', 'Drinks']",Kiosk or Stall,#01-72 Old Airport Road Food Centre Old Airport Road 390051
Charcoal Thai (321 Clementi Cinema Mall),"['Asian', 'Indochinese', 'Thai']",Restaurant,#02-08 321 Clementi Clementi Avenue 3 129905
Home-make Pau Specialist,"['Chinese', 'Dim Sum', 'Singaporean']",Kiosk or Stall,#01-86  Cassia Crescent 390034
13% Wine Bistro (Temporarily Closed) (Kampong Glam Conservation Area),"['Drinks', 'Modern European', 'Wine']",Bar or Pub,02-01 Kampong Glam Conservation Area Aliwal Street 199907
Tapas Club (Jewel Changi Airport),"['European', 'Spanish', 'Tapas', 'Western']",Restaurant,#03-220/221/222 Jewel Changi Airport Airport Boulevard 819666
Nasi Padang (Alexandra Village Food Centre),"['Asian', 'Chinese', 'Malaysian']",Kiosk or Stall,#01-65 Alexandra Village Food Centre Bukit Merah Lane 1 150120
Yo Ban Mian,['Singaporean'],Kiosk or Stall,  Senoko South Road 758075
Yi Lu Fa,['Chinese'],Kiosk or Stall,#01-168 Old Airport Road Food Centre Old Airport Road 390051
IKEA Restaurant & Cafe (Alexandra),"['European', 'International', 'Western']",Cafe,1F Ikea Alexandra Alexandra Road 159965
Pasta Manna,"['Chinese', 'European', 'Italian', 'Western']",Kiosk or Stall,#01-84 Old Airport Road Food Centre Old Airport Road 390051
Indian Curry House (Bukit Timah),"['Asian', 'Indian', 'North Indian', 'South Indian', 'Wine']",Bar or Pub,#01-03 Sixth Avenue Center Bukit Timah Road 279883
Chi Shuang Shuang,"['Desserts', 'Singaporean', 'Snacks']",Kiosk or Stall,#01-129 Old Airport Road Food Centre Old Airport Road 390051
Tim Ho Wan (Jewel Changi Airport),"['Asian', 'Cantonese', 'Chinese', 'Dim Sum']",Restaurant,#02-223 Jewel Changi Airport Airport Boulevard 819666
Eminent Frog Porridge,"['Chinese', 'Singaporean']",Restaurant, Geylang Conservation Area Geylang Road 389359
Hospoda Microbrewery (Temporarily Closed),"['Beer', 'Czech', 'European', 'Western']",Restaurant,#01-19 Albert Court Albert Street 189971
Old Airport Road (HK) Roasted Delights,['Chinese'],Kiosk or Stall,  Cassia Crescent 390034
Tai Liok Claypot Chicken Rice,"['Chinese', 'Singaporean']",Kiosk or Stall,#01-66 Alexandra Village Food Centre Bukit Merah Lane 1 150120
Albert Street Prawn Noodles (Old Airport Road Food Centre),"['Asian', 'Chinese', 'Hokkien']",Kiosk or Stall,#01-10 Old Airport Road Food Centre Old Airport Road 390051
Cherry Garden,"['Asian', 'Cantonese', 'Chinese', 'Dim Sum']",Restaurant,5F Mandarin Oriental Singapore Raffles Avenue 039797
Back 2 Ponggol (Aljunied),"['Asian', 'Chinese']",Cafe,#01-01 Block D Upper Aljunied Road 367855
Chef Hong H.K. Bakery (Old Airport Road Food Centre),"['Chinese', 'Hong Kong', 'Snacks']",Confectionery or Bakery,#01-131 Old Airport Road Food Centre Old Airport Road 390051
