placeId,Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
29,Dodo (Seletar Mall),"['Asian', 'Chinese']",Asian,Chinese,,Hawker,#B2-K5/K6 The Seletar Mall Sengkang West Avenue 797653,"33 Sengkang West Ave, Singapore 797653",,
30,Tanjong Rhu Wanton Noodles,['Chinese'],Chinese,,,Kiosk or Stall,#01-22 Jalan Batu Food Centre Jalan Batu 432004,,,
31,Viking Hotdogs (Jalan Kilang Timor),"['Asian', 'Western']",Asian,Western,,Fast Food Place,#03-06  Jalan Kilang Timor 159308,"16 Jln Kilang Timor, Singapore 159308",,
32,Asma A.R. Family Chicken Place,"['Halal', 'Malaysian']",Halal,Malaysian,,Kiosk or Stall, F&B Empires Jalan Bukit Merah 150002,"2 Jalan Bukit Merah, Block 2, Singapore 150002",4.6,143
33,Belirub,['Western'],Western,,,Kiosk or Stall,#01-12 Jalan Batu Hawker Centre Jalan Batu 432004,"4A Jln Batu, #01-12, Singapore 432004",4.4,25
34,Lian Xin Hainanese Chicken Rice,"['Asian', 'Chinese', 'Hainanese', 'Local']",Asian,Chinese,Hainanese,Kiosk or Stall,#01-125 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah Lane 1, #01-125, Singapore 150006",5,3
35,Symmetry,"['Australian', 'European', 'French', 'Western']",Australian,European,French,Restaurant,#01-01  Jalan Kubor 199206,"9 Jln Kubor, #01-01, Singapore 199206",,
36,New Soon Huat Bak Kut Teh (Jalan Kayu Estate),"['Chinese', 'Indonesian', 'Malaysian']",Chinese,Indonesian,Malaysian,Restaurant, Jalan Kayu Estate Jalan Kayu 799485,"253 Jln Kayu, Singapore 799479",4.1,435
37,Quán Cô Ba 2 (Jalan Besar),['Vietnamese'],Vietnamese,,,Kiosk or Stall,#01-06 Jalan Besar Stadium Tyrwhitt Road 207542,"153 Tyrwhitt Rd, Singapore 207566",4.3,3
38,Yong Zhen Lor Mee & Prawn Mee (ABC Brickworks Market & Food Centre),['Chinese'],Chinese,,,Kiosk or Stall,#01-40 ABC Brickworks Food Centre Jalan Bukit Merah 150006,"6 Jalan Bukit Merah Lane 1, #01-40, Singapore 150006",3.8,4
39,Chix Hot Chicken,['Western'],Western,,,Restaurant,#01-01 Kampong Glam Conservation Area Jalan Pisang 199069,"1 Jln Pisang, Singapore 199069",4.5,379
