placeId,Stall Name,Cuisine,Cuisine 1,Cuisine 2,Cuisine 3,Shop Type,Address,Google Address,Average Review,Number of Reviews
5982,Adrift,"['American', 'Asian', 'Western']",American,Asian,Western,Bar or Pub,Hotel Lobby Tower 2 Marina Bay Sands Bayfront Avenue 018956,"10 Bayfront Ave, Lobby Tower 2 Hotel, Singapore 018956",4.3,535
5983,Pancake King (Ubi 3014),"['Local', 'Snacks']",Local,Snacks,,Kiosk or Stall,#01–308 1st Stop Food Junction Ubi Road 1 408702,"3014 Ubi Rd 1, Singapore 408702",3,7
5984,Kim's Place Seafood Cuisine (Ubi Rd 1),"['Asian', 'Chinese', 'Local', 'Seafood', 'Singaporean']",Asian,Chinese,Local,Restaurant,#01-308  Ubi Road 1 408702,"3014 Ubi Rd 1, Singapore 408702",,
5985,Jack’s Place Restaurant (Nex),"['American', 'Steak and Grills']",American,Steak and Grills,,Restaurant,#04-66 Nex Serangoon Central 556083,"23 Serangoon Central, #04-66 Nex, Singapore 556083",3.7,354
5986,Jin Feng Ding Chinese Cuisine,"['Barbecue', 'Chinese', 'Drinks', 'Sichuan']",Barbecue,Chinese,Drinks,Restaurant,#01-18 Citimac Macpherson Road 368239,"605 MacPherson Rd, Singapore 368239",,
5987,King of Hotpot,"['Asian', 'Chinese', 'Steamboat']",Asian,Chinese,Steamboat,Restaurant,#04-02/03 Oasis Terraces Punggol Drive 820681,"681 Punggol Dr, #04-02/03 Oasis Terraces, Singapore 820681",3.5,60
5988,Ryan's Kitchen,"['Australian', 'Western']",Australian,Western,,Restaurant,#B1-146 Great World City Kim Seng Promenade 237994,"1 Kim Seng Promenade, #B1-146 Great World, Singapore 237994",4.1,81
5989,The Well (PoMo),"['Asian', 'Cantonese', 'Chinese']",Asian,Cantonese,Chinese,Cafe,"#01-11, #01-K3 Pomo Selegie Road 188306","1 Selegie Rd, #01-11, Singapore 188306",5,2
5990,Yasha Briyani Hut,['Indian'],Indian,,,Restaurant,#01-18 The Midtown Upper Serangoon Road 533971,"1187 Midtown, Upper Serangoon Rd, #01-18, Singapore 533971",4.1,20
5991,Lotus Kitchen (Chinatown Point),"['Chinese', 'Fusion', 'Vegetarian']",Chinese,Fusion,Vegetarian,Restaurant,#01-01/02 Chinatown Point New Bridge Road 059413,"133 New Bridge Rd, Point, Singapore, Singapore 059413",,
5992,Fish Eden (Food Republic @ City Square Mall),['Chinese'],Chinese,,,Hawker,#04-31 City Square Mall Kitchener Road 208539,"180 Kitchener Rd, #04 - 31 / 32, Singapore 208539",3.9,345
5993,La Forketta (Dempsey Hill),"['Italian', 'Pizza', 'Western']",Italian,Pizza,Western,Restaurant,#01-09 Dempsey Hill Dempsey Road 247697,"9 Dempsey Road, Dempsey Hill, #01-09, 247697",4,546
5994,Yong's Teochew Kueh (Serangoon),"['Asian', 'Chinese', 'Snacks', 'Teochew']",Asian,Chinese,Snacks,Kiosk or Stall,  Upper Serangoon Road 534760,"1022 Upper Serangoon Rd, Singapore 534760",4.1,268
5995,Hock Hai Curry Chicken Bee Hoon Noodle,"['Chinese', 'Local', 'Singaporean']",Chinese,Local,Singaporean,Kiosk or Stall,#01-37 Bedok Interchange Food Centre New Upper Changi Road 460207,208 New Upper Changi Rd,3.6,56
5996,Sin Fong Restaurant,"['Asian', 'Chinese', 'Local', 'Singaporean']",Asian,Chinese,Local,Cafe,  Macpherson Road 368233,,,
5997,Aroy-Dee (Middle Road),['Thai'],Thai,,,Restaurant, Elias Building Middle Road 188989,"127 Bencoolen St, Near NAFA academy, Singapore 189637",3.7,249
5998,Hong Kong Street Family Restaurant Bedok (East Village),"['Asian', 'Cantonese', 'Chinese']",Asian,Cantonese,Chinese,Restaurant,#01-67/68 East Village Upper Changi Road 487048,"430 Upper Changi Rd, #01-67, Singapore 487048",4.1,286
5999,issho izakaya (Great World City),['Japanese'],Japanese,,,Restaurant,#01-123 Great World City Kim Seng Promenade 237994,"1 Kim Seng Promenade, #01-123 Great World City, Singapore 237994",4.3,170
6000,The Bread Table (Upper Serangoon),"['French', 'Italian', 'Western']",French,Italian,Western,Confectionery or Bakery,  Upper Serangoon Road 534748,"1008 Upper Serangoon Rd, Singapore 534748",,
6001,Ziweitang Folk Soup Pot Restaurant,"['Cantonese', 'Chinese', 'Steamboat']",Cantonese,Chinese,Steamboat,Restaurant,  Tanjong Katong Road 436990,"1881 Tanjong Katong Rd, Singapore 436990",4.3,25
6002,Yuet Sing Seafood (Kreta Ayer Conservation Area),"['Chinese', 'Seafood', 'Zi Char']",Chinese,Seafood,Zi Char,Restaurant, Kreta Ayer Conservation Area Smith Street 058968,"70 Smith St, Singapore 058968",3.8,94
6003,Novena Steamboat Delight,"['Asian', 'Chinese']",Asian,Chinese,,Restaurant, Novena Regency Thomson Road 307645,"275 Thomson Road #01-06, Novena Regency, Singapore 307645",5,5
6004,Yong Xiang Home Made Noodle,"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Kiosk or Stall,#02-88 Amoy Street Food Centre Maxwell Road 069111,"7 Maxwell Rd, Singapore 069111",,
6005,Righteous Teppan (The Midtown),['Japanese'],Japanese,,,Kiosk or Stall,#01-01 The Midtown Upper Serangoon Road 533971,"1187 Upper Serangoon Rd, The Midtown, Singapore 533971",4.6,17
6006,Tian Pin Zan Dessert Station,['Chinese'],Chinese,,,Kiosk or Stall,#01-41 Albert Centre Market & Food Centre Queen Street 180270,"271 Queen St, Singapore 180271",3.7,7
6007,Ya Kun Kaya Toast (Funan),"['Local', 'Singaporean']",Local,Singaporean,,Cafe,#B2-06 Funan North Bridge Road 179105,"107 North Bridge Rd, #B2-06 Funan Mall, Singapore 179105",4.2,51
6008,Ang Seng Li Fishball Minced Meat Noodle,['Chinese'],Chinese,,,Kiosk or Stall,01-48 Changi Village Market and Food Centre Changi Village Road 500002,"2 Changi Village Rd, #01-48 Changi Village Hawker Centre, Singapore 500002",3,1
6009,Pollen,"['European', 'Mediterranean', 'Modern European', 'Western']",European,Mediterranean,Modern European,Restaurant,"#01-09 Flower Dome, Gardens by the Bay Marina Gardens Drive 018953","18 Marina Gardens Dr, #01-09 Flower Dome, Singapore 018953",4.4,99
6010,AMK 0107,"['Drinks', 'Juices']",Drinks,Juices,,Kiosk or Stall,#01-07 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,,,
6011,Hill Street Fried Kway Teow,"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Kiosk or Stall,#01-41 Bedok South Market and Food Centre Bedok South Road 460016,"335 Smith St, #02-32, Singapore 050335",4,39
6012,He Cheng Coffee Shop,['Drinks'],Drinks,,,Kiosk or Stall,#01-24 Kebun Baru Food Centre Ang Mo Kio Street 22 568226,"111 Lor 1 Toa Payoh, #01-366, Singapore 310111",3.8,88
6013,Just Acia (Sembawang Shopping Centre),"['Asian', 'Korean']",Asian,Korean,,Restaurant,#01-39 Sembawang Shopping Centre Sembawang Road 758459,"604 Sembawang Rd, Sembawang Shopping Centre, #01-32 to 39, Singapore 758459",4.1,442
6014,Children's Garden Cafe,"['Asian', 'Snacks', 'Western']",Asian,Snacks,Western,Cafe, Gardens By The Bay Marina Gardens Drive 018953,,,
6015,Kim San Seafood,"['Chinese', 'Seafood']",Chinese,Seafood,,Kiosk or Stall,#01-538 Fajar Shopping Centre Fajar Road 670445,"445 Fajar Rd, Singapore 670445",,
6016,Canadian 2 for 1 Pizza (Hougang),['Western'],Western,,,Kiosk or Stall,  Upper Serangoon Road 534633,"764 Upper Serangoon Rd, Singapore 534633",3.5,8
6017,Little Hiro,"['American', 'Asian', 'Japanese']",American,Asian,Japanese,Restaurant,#01-01 King's Arcade Bukit Timah Road 269695,"559 Bukit Timah Rd, Singapore 269695",3.9,136
6018,Tian Fu Tea Room (UOB Plaza),"['Asian', 'Chinese']",Asian,Chinese,,Restaurant,60F#60-01 UOB Plaza Raffles Place 048624,"80 Raffles Place, #60-01 UOB Plaza 1, 048624",,
6019,Ramen Keisuke Tonkotsu King (Paya Lebar Square),"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#01-04 Paya Lebar Square Paya Lebar Road 409051,"60 Paya Lebar Road #01-02/03/04 Paya Lebar Square, 409051",4.4,694
6020,Lau Chong Kee New Market Confectionery,"['Chinese', 'Snacks']",Chinese,Snacks,,Confectionery or Bakery,#01-1030 People's Park Cooked Food Centre New Market Road 050032,"32 New Market Rd, #01-1030, Singapore 050032",4.7,3
6021,Shokuraku International,['Japanese'],Japanese,,,Restaurant,#02-02  Keppel Bay Vista 098382,"2 Keppel Bay Vista, 098382",,
6022,Chong Pang Huat (Newton Food Centre),"['Barbecue', 'Chinese']",Barbecue,Chinese,,Kiosk or Stall,#01-62 Newton Food Centre Clemenceau Avenue North 229495,,,
6023,O.BBa Jjajang (Tanjong Pagar),"['Chinese', 'Korean']",Chinese,Korean,,Restaurant,  Tanjong Pagar Road 088498,"59 Tg Pagar Rd, Singapore 088480",4.9,40
6024,Kimchi Korean Restaurant (Suntec City Mall),"['Asian', 'Korean']",Asian,Korean,,Restaurant,#02-387 Suntec City Tower 5 Temasek Boulevard 038983,"3, #02-387 Temasek Blvd, Suntec City West Wing, 038983",3.7,204
6025,Cheng Gong Pang Xie Zhi Jia,['Chinese'],Chinese,,,Restaurant,#01-17 Keat Hong Shopping Centre Choa Chu Kang Avenue 1 680253,,,
6026,Roman.Tei,['Japanese'],Japanese,,,Restaurant,#B1-132 Great World City Kim Seng Promenade 237994,"1 Kim Seng Promenade, Great World, #B1-132 Within &JOY Dining Hall, 237994",4.4,12
6027,The Chicken Rice Ex-press,"['Asian', 'Chinese']",Asian,Chinese,,Cafe,  Killiney Road 239547,"107 Killiney Rd, Singapore 239547",3.7,43
6028,Thien Kee Steamboat Restaurant,"['Asian', 'Chinese', 'Hainanese', 'Steamboat']",Asian,Chinese,Hainanese,Restaurant,#B1-20 Golden Mile Tower Beach Road 199589,"6001 Beach Rd, #B1, 20 GOLDEN MILE TOWER, 199589",4,543
6029,Soul Waterfront Cafe and Bar,['Western'],Western,,,Restaurant, Changi Beach Club Andover Road 509984,,,
6030,Kim Hock Guan (South Bridge Rd),"['Asian', 'Chinese', 'Local', 'Snacks']",Asian,Chinese,Local,Food Retailer,#01-02 Fook Hai Building South Bridge Road 058727,"150 South Bridge Rd, #01-02, Singapore 058727",4.3,9
6031,Cluny Thai Restaurant & Bar (Lucky Plaza),"['Thai', 'Western']",Thai,Western,,Restaurant,#02-111 Lucky Plaza Orchard Road 238863,,,
6032,Starbucks (Great World City),"['American', 'European', 'Western']",American,European,Western,Cafe,#02-K104/105/106 Great World City Kim Seng Promenade 237994,"1 Kim Seng Promenade, #02-K104/105/106, Singapore 237994",3.9,59
6033,Thai Baàng,"['Snacks', 'Thai']",Snacks,Thai,,Confectionery or Bakery,#01-41 Kitchener Complex French Road 200809,"#01-41, Kitchener Complex, 809 French Rd, Singapore 200809",4.3,80
6034,Blu Kouzina,"['European', 'Greek', 'Mediterranean', 'Western']",European,Greek,Mediterranean,Restaurant,#01-21 Dempsey Hill Dempsey Road 247700,"#01, 10 Dempsey Rd, 21, 247700",,
6035,BreadTalk (Funan),"['Desserts', 'Snacks']",Desserts,Snacks,,Cafe,#B1-26 Funan Mall North Bridge Road 179097,"107 North Bridge Rd, #B1-26 Funan Mall, Singapore 179105",3.3,6
6036,Killiney Curry Puff,"['Asian', 'Halal', 'Indian', 'Indonesian', 'Malaysian']",Asian,Halal,Indian,Cafe,  Killiney Road 239536,"93 Killiney Rd, Singapore 239536",3.6,105
6037,Itacho Sushi (City Square Mall),"['Beer', 'Desserts', 'Japanese', 'Seafood', 'Snacks']",Beer,Desserts,Japanese,Restaurant,#04-11 City Square Mall Kitchener Road 208539,"180 Kitchener Rd, #04 - 12, Singapore 208539",3,117
6038,Tian Tian Cooked Food,"['Chinese', 'Singaporean']",Chinese,Singaporean,,Kiosk or Stall,#01-153 Chong Pang Food Centre Yishun Ring Road 760105,"104 Yishun Ring Rd, Singapore 760104",2.5,6
6039,Amazonia Singapore,"['Asian', 'Western']",Asian,Western,,Cafe,#03-08 Great World City Kim Seng Promenade 237994,"1 Kim Seng Promenade, #03-113 Great World, Singapore 237994",3.8,287
6040,MIRACLE,['Drinks'],Drinks,,,Bar or Pub,#02-20 Cuppage Plaza Koek Road 228796,"5 Koek Rd, Singapore 228796",,
6041,Arbar 24 Hours Restaurant Pte Ltd,['Indian'],Indian,,,Coffee Shop,  Lim Teck Kim Road 088933,"2 Lim Teck Kim Rd, Singapore 088933",4,412
6042,Xin Xi Chwee Kueh (Bedok South Market),"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-165 Bedok South Market and Food Centre Bedok South Road 460016,"58 New Upper Changi Rd, #01-150, Singapore 461058",,
6043,Blackball (Bedok Mall),"['Desserts', 'Taiwanese']",Desserts,Taiwanese,,Cafe,#01-03 Bedok Mall New Upper Changi Road 467360,,,
6044,Duo Ji Mei Shi,['Chinese'],Chinese,,,Kiosk or Stall,"#01-61 Kim Keat Palm Market and Food Centre Lorong 7, Toa Payoh 310022","335 Smith St, #02-166, Singapore 050335",4.1,43
6045,My Dining Place,"['Chinese', 'Singaporean', 'Zi Char']",Chinese,Singaporean,Zi Char,Restaurant,  Macpherson Road 368208,"510 MacPherson Rd, Singapore 368208",,
6046,Ya Kun Kaya Toast (Great World City),"['Local', 'Singaporean']",Local,Singaporean,,Cafe,#01-135 Great World City Kim Seng Promenade 237994,"1 Kim Seng Promenade, #01-135 Great World City, Singapore 237994",4,85
6047,Bangkok Express,"['Chinese', 'Thai']",Chinese,Thai,,Kiosk or Stall,#01-04 Newton Food Centre Clemenceau Avenue North 229495,"500 Clemenceau Ave N, Singapore 229495",5,2
6048,Sheng Seng Fried Prawn Noodle,"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Kiosk or Stall,#01-40 Pek Kio Market and Food Centre Cambridge Road 211041,"41A Cambridge Road, #01-40, Pek Kio Market and Food Centre, 211041",3.7,23
6049,J2 Crispy Curry Puff,"['Local', 'Singaporean', 'Snacks']",Local,Singaporean,Snacks,Kiosk or Stall,#01-21 Amoy Street Food Centre Maxwell Road 069111,"7 Maxwell Road, Amoy St, #01-21 Food Centre, 069111",4.4,100
6050,V Pocha,['Korean'],Korean,,,Restaurant,  Kreta Ayer Road 088998,"31 Kreta Ayer Rd, Singapore 088998",3.9,25
6051,Passion Cafe,['Japanese'],Japanese,,,Cafe,  Lim Teck Kim Road 088938,"10 Changi Coast Walk, Level 1 National Service Resort & Country Club, Singapore 499739",3.7,35
6052,Sauté-san (City Square Mall),"['Japanese', 'Vegan', 'Vegetarian']",Japanese,Vegan,Vegetarian,Restaurant,#03-23/24 City Square Mall Kitchener Road 208539,"180 Kitchener Rd, #03 - 23 / 24, Singapore 208539",4.3,342
6053,Rabbit Brand Seafood Delicacies (Circular Road),"['Asian', 'Chinese', 'Seafood']",Asian,Chinese,Seafood,Consumer Shop,  Circular Road 049367,"11 Circular Rd, Singapore 049367",3.7,32
6054,Dessert Delights,['Desserts'],Desserts,,,Kiosk or Stall,#01-40 Fengshan Market and Food Centre Bedok North Street 4 460085,"85 Bedok North Street 4, #01-40 Fengshan Market & Food Centre, Singapore 460085",,
6055,FUZE by Blend It Up,"['Desserts', 'Italian', 'Pizza', 'Western', 'Wine']",Desserts,Italian,Pizza,Restaurant,  Upper Paya Lebar Road 534946,"325 Upper Paya Lebar Rd, Singapore 534946",4.2,183
6056,Cat & the Fiddle Cakes (Tai Seng),['Desserts'],Desserts,,,Food & Drink Place,#01-01 Trivex Burn Road 369977,,,
6057,Burger King (Plaza Singapura),"['American', 'Western']",American,Western,,Fast Food Place,#B1-11 Plaza Singapura Orchard Road 238839,"68 Orchard Rd, Plaza Singapura, #B1-11, Singapore 238839",3.8,374
6058,Shamira Drinks Stall,"['Drinks', 'Malaysian']",Drinks,Malaysian,,Kiosk or Stall,#01-169 Chong Pang Food Centre Yishun Ring Road 760105,"105 Yishun Ring Rd, #01-169, Singapore 760105",,
6059,Skewlets,['Barbecue'],Barbecue,,,Kiosk or Stall,  Upper Serangoon Road 534725,"973 Upper Serangoon Rd, Singapore 534725",4.8,4
6060,PepperBox,"['Asian', 'Indian']",Asian,Indian,,Restaurant,  Upper Paya Lebar Road 534842,"133 Upper Paya Lebar Rd, Singapore 534842",4,5
6061,The Whale Tea (City Square Mall),"['Desserts', 'Drinks']",Desserts,Drinks,,Kiosk or Stall,#B2-K7 City Square Mall Kitchener Road 208539,"180 Kitchener Road, B2-K7 City Square Mall, 208539",4.5,102
6062,Rui Feng Ka Fei Tan,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-38 Teck Ghee Square Food Centre Ang Mo Kio Avenue 10 560409,,,
6063,Don't Tell Mama,"['Cocktails', 'Drinks', 'Fusion', 'Korean']",Cocktails,Drinks,Fusion,Bar or Pub, Tanjong Pagar Conservation Area Tanjong Pagar Road 088473,"48A Tg Pagar Rd, Singapore 088473",4.2,143
6064,Boost Juice (Wisma Atria),"['Fruits & Drinks', 'Juices', 'Snacks']",Fruits & Drinks,Juices,Snacks,Kiosk or Stall,#B1-48 Wisma Atria Orchard Road 238877,,,
6065,Lady Wu,"['Asian', 'Fusion']",Asian,Fusion,,Bar or Pub, The Offshore Building North Canal Road 048824,"#03(Attic Level) 11, N Canal Rd, 048824",4.2,36
6066,Jew Kit (Killiney),"['Asian', 'Chinese', 'Hainanese']",Asian,Chinese,Hainanese,Restaurant,  Killiney Road 239546,"105 Killiney Rd, Singapore 239546",4.2,332
6067,Sincerity Vegetarian Food,"['Chinese', 'Singaporean', 'Vegetarian']",Chinese,Singaporean,Vegetarian,Kiosk or Stall,#01-168 Chong Pang Food Centre Yishun Ring Road 760105,"101 Yishun Ave 5, Singapore 760101",3.6,20
6068,Qi Wei Chicken Claypot,"['Asian', 'Chinese', 'Sichuan']",Asian,Chinese,Sichuan,Restaurant,  Upper Serangoon Road 534721,"947 Upper Serangoon Rd, Singapore 534712",3.8,284
6069,Hock Le Xiang (Bukit Timah Market & Food Centre),['Local'],Local,,,Kiosk or Stall,#02-152 Bukit Timah Market & Food Centre Upper Bukit Timah Road 588215,"116 Upper Bukit Timah Rd, #02-152 Market & Food Centre, Singapore 588172",4.4,5
6070,Jumbo Seafood (Riverside Point),"['Asian', 'Chinese', 'Seafood']",Asian,Chinese,Seafood,Restaurant,#01-01 Riverside Point Merchant Road 058282,"30 Merchant Road #01-01/02 Riverside Point, 058282",,
6071,Soon Huat Delights,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-77 Old Airport Road Food Centre Old Airport Road 390051,"11 Tanjong Katong Rd, #B1 - K5, Singapore 436950",4,69
6072,London Fat Duck (Great World City),"['Chinese', 'Hong Kong']",Chinese,Hong Kong,,Restaurant,#B1-108 Great World City Kim Seng Promenade 237994,"1 Kim Seng Promenade, #B1-108/109, Singapore 237994",3.2,21
6073,Marutama Ramen (Killiney Road),"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,  Killiney Road 239529,"75 Killiney Rd, Singapore 239529",4.3,170
6074,Imperial Treasure Super Peking Duck (Paragon),"['Asian', 'Beijing', 'Chinese', 'Steamboat']",Asian,Beijing,Chinese,Restaurant,#05-42 Paragon Orchard Road 238859,"#05-42/45, Paragon, 290 Orchard Rd, 238859",4.4,759
6075,Pancake King (AMK 202),"['Local', 'Snacks']",Local,Snacks,,Kiosk or Stall, Choh Dee Place Ang Mo Kio Avenue 3 560202,"202 Ang Mo Kio Ave 3, Block 202, Singapore 560202",3,2
6076,Hock Guan Sugar Cane Juice,"['Chinese', 'Desserts', 'Drinks', 'Juices', 'Local']",Chinese,Desserts,Drinks,Kiosk or Stall,#02-37 Woodlands Centre Road Food Centre Woodlands Centre Road 731004,,,
6077,Hup Choon Seafood Restaurant,"['Asian', 'Chinese', 'Seafood']",Asian,Chinese,Seafood,Cafe,  Binjai Park 589818,"1 Binjai Park, Singapore 589818",4.3,349
6078,oBlong,['Desserts'],Desserts,,,Cafe,#B1-07 Balmoral Plaza Maju Avenue 556688,"10 Maju Ave, Singapore 556688",3.9,408
6079,Tian Fu Tea Room (Beach Road),"['Asian', 'Chinese']",Asian,Chinese,,Restaurant, Parkroyal Hotel Beach Road 199591,"7500 Beach Rd, Singapore 199590",4.5,4
6080,Shinshu Food,"['Asian', 'Japanese']",Asian,Japanese,,Restaurant,#02-18 Cuppage Plaza Koek Road 228796,,,
6081,Kim Huat Fried Kway Teow/Tiong Bahru Shui Kueh,"['Chinese', 'Snacks']",Chinese,Snacks,,Kiosk or Stall,#01-111a/111b Cheng San Market and Cooked Food Centre Ang Mo Kio Avenue 10 560527,"527 Ang Mo Kio Ave 10, #01-111, Singapore 560527",5,1
6082,#87 Just Thai (Killiney Road),['Thai'],Thai,,,Kiosk or Stall,  Killiney Road 239520,,,
6083,Ji Li Eating House,[None],,,,Food Court or Canteen,  Kranji Road 739505,"259 Kranji Rd, Singapore 739505",4,244
6084,Tora Tora,['Japanese'],Japanese,,,Restaurant,#01-92 Oxley Bizhub Ubi Road 1 408729,,,
6085,Heart of Darkness Singapore,"['Asian', 'Fusion']",Asian,Fusion,,Restaurant,  Keong Saik Road 089109,"1 Keong Saik Rd., Singapore 089109",4.5,277
6086,Guan Hock Coffee Shop,['Fruits & Drinks'],Fruits & Drinks,,,Kiosk or Stall,#01-33 Chong Boon Food Centre Ang Mo Kio Avenue 10 561453,"453A Ang Mo Kio Ave 10, #01-33 Chong Boon Market & Food Centre, Singapore 561453",,
6087,Sweetlands Confectionery & Bakery,[None],,,,Confectionery or Bakery,  Kim Keat Lane 328867,"10 Kim Keat Ln, Singapore 328867",4.6,58
6088,Jie Traditional Bread Bakery,"['Asian', 'Local']",Asian,Local,,Confectionery or Bakery,  Upper Paya Lebar Road 534837,"123 Upper Paya Lebar Rd, Singapore 534837",4,52
6089,Kenny's,['Western'],Western,,,Kiosk or Stall,#01-167 Chong Pang Food Centre Yishun Ring Road 760105,"105 Yishun Ring Rd, Singapore 760105",,
6090,Ho Heng,['Singaporean'],Singaporean,,,Kiosk or Stall,#01-140 Chong Pang Food Centre Yishun Ring Road 760105,"104 Yishun Ring Rd, Singapore 760104",5,1
6091,Bendemeer Fresh Cockles Fried Kway Teow,['Singaporean'],Singaporean,,,Kiosk or Stall,#01-13 Teck Ghee Square Market & Food Centre Ang Mo Kio Avenue 10 560409,"409 Ang Mo Kio Ave 10, #01-13, Singapore 560409",4.2,10
6092,Amoy St Boon Kee Prawn Noodle,"['Chinese', 'Local', 'Singaporean']",Chinese,Local,Singaporean,Kiosk or Stall,#01-01/02 PSA Tanjong Pagar Complex Keppel Road 089053,"7 Keppel Rd, Singapore 089053",4.6,25
6093,Heng Seng Drink Stall,['Drinks'],Drinks,,,Kiosk or Stall,#B1-25 Golden Mile Food Centre Beach Road 199583,,,
6094,Heng Lee Economical Vegetable Rice,['Chinese'],Chinese,,,Kiosk or Stall,"#01-38 Kim Keat Palm Market and Food Centre Lorong 7, Toa Payoh 310022","395a Bukit Gombak West Ave 5, Level 1, Singapore 650395",,
6095,ENG's Wantan Noodle (Great World City),['Chinese'],Chinese,,,Restaurant,#B1-K122/123 Great World City Kim Seng Promenade 237994,"#B1-K122/123 Great World City, 1 Kim Seng Promenade, Singapore 237994",2.2,13
6096,May Ker Soya Bean Drink,"['Chinese', 'Fruits & Drinks', 'Local', 'Snacks']",Chinese,Fruits & Drinks,Local,Kiosk or Stall,#01-27 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,"49 Sims Pl, #01-27, Singapore 380049",5,2
6097,TungLok Signatures (Orchard Parade Hotel),"['Asian', 'Cantonese', 'Chinese']",Asian,Cantonese,Chinese,Restaurant,#02-18 Orchard Parade Hotel Tanglin Road 247905,"1 Tanglin Rd, #02-18 Orchard, Singapore 247905",4.4,272
6098,Pergola,"['Asian', 'Western']",Asian,Western,,Restaurant, Swiss Club Swiss Club Road 288139,"36 Swiss Club Rd., Singapore 288139",4,4
6099,Weng Seng Cooked Food,"['Asian', 'Chinese', 'Local', 'Snacks']",Asian,Chinese,Local,Kiosk or Stall,#01-20 Blk 724 Ang Mo Kio Food Centre Ang Mo Kio Avenue 6 560724,,,
6100,Huda Restaurant,"['Asian', 'Beijing', 'Chinese']",Asian,Beijing,Chinese,Restaurant, Kreta Ayer Conservation Area Temple Street 058601,"56 Temple St, Singapore 058601",4.2,44
6101,Kean Lye Fruit Trading,"['Asian', 'Fruits & Drinks', 'Local']",Asian,Fruits & Drinks,Local,Kiosk or Stall,  Upper Serangoon Road 534631,"766 Upper Serangoon Rd, Singapore 534634",3.7,3
6102,Jin Seng Confectionery,"['Desserts', 'Snacks']",Desserts,Snacks,,Confectionery or Bakery,#01-249  Ghim Moh Road 270019,"Blk, 19 Ghim Moh Rd, #01-249, Singapore 270019",3.5,4
6103,Ding Tele,"['Chinese', 'Dim Sum']",Chinese,Dim Sum,,Restaurant,  Upper Serangoon Road 534713,"949 Upper Serangoon Rd, Singapore 534713",3.9,475
6104,Poppin' Fresh,"['Desserts', 'Snacks']",Desserts,Snacks,,Confectionery or Bakery,#01-43 The Midtown Upper Serangoon Road 533971,"1187 Upper Serangoon Rd, #01-43, Singapore 533971",4.5,15
6105,Panda Cool King,"['Barbecue', 'Chinese', 'Sichuan']",Barbecue,Chinese,Sichuan,Restaurant,#01-05 Bugis Cube North Bridge Road 188735,"470, #01-05 North Bridge Rd, 188735",3.4,16
6106,Chateraise (Hillion Mall),"['Desserts', 'Japanese']",Desserts,Japanese,,Confectionery or Bakery,#B1-44 Hillion Mall Petir Road 678278,"10 Jelebu Rd, #B1-44, Singapore 678270",4.3,70
6107,Tian Yuan Hainanese Chicken Rice (Tekka Market and Food Centre),"['Asian', 'Chinese', 'Local']",Asian,Chinese,Local,Kiosk or Stall,#01-292 Tekka Market and Food Centre Buffalo Road 210665,"Bukit Timah Rd, #01-292 Tekka Centre",3.5,4
6108,Ming Xiang Shu Shi,['Chinese'],Chinese,,,Kiosk or Stall,#01-19 Teck Ghee Square Food Centre Ang Mo Kio Avenue 10 560409,,,
6109,D' Shiook Korner,"['Asian', 'Chinese']",Asian,Chinese,,Kiosk or Stall,#01-09 King's Place Cambridge Road 210043,"43 Cambridge Rd, Singapore 210043",4,1
6110,Yu Cun Kitchen,"['Chinese', 'Seafood', 'Sichuan']",Chinese,Seafood,Sichuan,Restaurant, Kreta Ayer Conservation Area Smith Street 058944,"30 Smith St, Singapore 058944",3.9,16
6111,Nipong Naepong (313@Somerset),['Korean'],Korean,,,Restaurant,#B3-03 313 @ Somerset Orchard Road 238895,"313 Orchard Road 313@somerset, #B3-03, 238895",3.7,86
6112,Eatzi Gourmet (Paya Lebar Square),"['Halal', 'Western']",Halal,Western,,Restaurant,#B1-15 Paya Lebar Square Paya Lebar Road 409051,"60 Paya Lebar Rd, #B1-15, Singapore 409051",3.8,53
6113,RV Burger,"['Asian', 'Local', 'Western']",Asian,Local,Western,Restaurant,  River Valley Road 248328,"429 River Valley Rd, Singapore 248328",3.8,20
6114,Freshly Made Hong Kong Style Chee Cheong Fun,"['Cantonese', 'Chinese']",Cantonese,Chinese,,Kiosk or Stall,01-152 Chong Pang Market & Food Centre Yishun Ring Road 760105,"41A Cambridge Rd, #01-25, Singapore 211041",4.2,132
6115,BBQ Box (Kreta Ayer Conservation Area),['Chinese'],Chinese,,,Restaurant, Kreta Ayer Conservation Area South Bridge Road 058811,"262 South Bridge Rd, Singapore 058811",4.3,177
